(0.11798935908079147, 0.035601290800268685)
(0.027084639959037305, 0.023230795999841083)
(0.020135600090026854, 0.019186227597177974)
(0.01792379718273878, 0.016948526340817647)
(0.016701819356530905, 0.01625069093313955)
(0.016109072852879762, 0.015712420810900983)
(0.015610184445977211, 0.015357754281943753)
(0.015448894660919905, 0.015172414954692598)
(0.01521846030279994, 0.015006968367194373)
(0.015002074472606182, 0.014883613184330955)
(0.014919248204678296, 0.014747555027641947)
(0.014847603589296342, 0.014628980663560685)
(0.014683530170470476, 0.014693881163284891)
(0.014653451908379793, 0.014498749348734106)
(0.014565824557095767, 0.0148481201705715)
(0.014618527129292487, 0.014548387910638536)
(0.014566917661577463, 0.014424789563885756)
(0.014576569449156522, 0.014339517757651351)
(0.01453099126368761, 0.014524551537183543)
(0.014444474589079619, 0.01449024084482401)
(0.014492019064724445, 0.014365527039719007)
(0.0143619668148458, 0.014417023279718937)
(0.014382145628333091, 0.014342967775605973)
